Ingredient,Quantity_for_n_pizzas
Barbecued Chicken,40
 Red Peppers,266
 Green Peppers,83
 Tomatoes,390
 Red Onions,318
 Barbecue Sauce,40
Chicken,142
 Artichoke,38
 Spinach,76
 Garlic,459
 Jalapeno Peppers,97
 Fontina Cheese,53
 Gouda Cheese,38
 Mushrooms,118
 Asiago Cheese,53
 Alfredo Sauce,15
 Pesto Sauce,44
 Corn,59
 Cilantro,59
 Chipotle Sauce,59
 Pineapple,77
 Thai Sweet Chilli Sauce,41
Bacon,17
 Pepperoni,91
 Italian Sausage,17
 Chorizo Sausage,17
Pepperoni,54
 Bacon,34
Sliced Ham,36
 Mozzarella Cheese,110
Capocollo,58
 Goat Cheese,58
 Oregano,24
Tomatoes,49
 Anchovies,22
 Green Olives,94
Mozzarella Cheese,66
Kalamata Olives,28
 Feta Cheese,76
 Beef Chuck Roast,28
Brie Carre Cheese,4
 Prosciutto,4
 Caramelized Onions,4
 Pears,4
 Thyme,4
�Nduja Salami,15
 Pancetta,15
 Friggitello Peppers,15
Calabrese Salami,31
 Capocollo,56
Genoa Salami,24
Prosciutto di San Daniele,22
 Arugula,22
Coarse Sicilian Salami,29
 Luganega Sausage,29
 Onions,29
Soppressata Salami,15
 Artichokes,90
 Peperoncini verdi,34
Spinach,76
 Kalamata Olives,29
 Provolone Cheese,30
 Smoked Gouda Cheese,30
 Romano Cheese,30
 Blue Cheese,30
Ricotta Cheese,37
 Gorgonzola Piccante Cheese,37
 Parmigiano Reggiano Cheese,37
Eggplant,14
 Zucchini,37
 Sun-dried Tomatoes,29
 Plum Tomatoes,15
Mushrooms,23
